ID,"Absolute URL","Relative Path",File,"Alt Text",Caption,Description,Title
3167,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/10/6-Ekot-7gidl3.mp3,/woocommerce_uploads/2024/10/6-Ekot-7gidl3.mp3,6-Ekot-7gidl3.mp3,,,"”6 Ekot”. Släppt: 2022.","6 Ekot"
3166,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/10/5-Mitt-eget-stalle-hprwfo.mp3,/woocommerce_uploads/2024/10/5-Mitt-eget-stalle-hprwfo.mp3,5-Mitt-eget-stalle-hprwfo.mp3,,,"”5 Mitt eget ställe”. Släppt: 2022.","5 Mitt eget ställe"
3165,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/10/4-Ballongknepet-bbiqg7.mp3,/woocommerce_uploads/2024/10/4-Ballongknepet-bbiqg7.mp3,4-Ballongknepet-bbiqg7.mp3,,,"”4 Ballongknepet”. Släppt: 2022.","4 Ballongknepet"
3164,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/10/3-Gunga-pa-ett-moln-rkuiit.mp3,/woocommerce_uploads/2024/10/3-Gunga-pa-ett-moln-rkuiit.mp3,3-Gunga-pa-ett-moln-rkuiit.mp3,,,"”3 Gunga på ett moln”. Släppt: 2022.","3 Gunga på ett moln"
3111,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/10/01-Mitt-stressfria-hem-l0ceg0.mp3,/woocommerce_uploads/2024/10/01-Mitt-stressfria-hem-l0ceg0.mp3,01-Mitt-stressfria-hem-l0ceg0.mp3,,,"”Mitt stressfria hem” från Stresshantering av Dr.Lars-Erik Uneståhl. Spår 1. Genre: New Age.","Mitt stressfria hem"
3110,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/10/05-Stresstraning-pa-egen-hand-nngxjd.mp3,/woocommerce_uploads/2024/10/05-Stresstraning-pa-egen-hand-nngxjd.mp3,05-Stresstraning-pa-egen-hand-nngxjd.mp3,,,"”Stressträning på egen hand” från Stresshantering av Dr.Lars-Erik Uneståhl. Spår 5. Genre: New Age.","Stressträning på egen hand"
3109,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/10/04-Stress-siesta-zfrplx.mp3,/woocommerce_uploads/2024/10/04-Stress-siesta-zfrplx.mp3,04-Stress-siesta-zfrplx.mp3,,,"”Stress-siesta” från Stresshantering av Dr.Lars-Erik Uneståhl. Spår 4. Genre: New Age.",Stress-siesta
3108,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/10/03-Mental-tuffhetstraning-ftd2mj.mp3,/woocommerce_uploads/2024/10/03-Mental-tuffhetstraning-ftd2mj.mp3,03-Mental-tuffhetstraning-ftd2mj.mp3,,,"”Mental tuffhetsträning” från Stresshantering av Dr.Lars-Erik Uneståhl. Spår 3. Genre: New Age.","Mental tuffhetsträning"
3107,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/10/02-Kognitiv-omstrukturering-ubs3yr.mp3,/woocommerce_uploads/2024/10/02-Kognitiv-omstrukturering-ubs3yr.mp3,02-Kognitiv-omstrukturering-ubs3yr.mp3,,,"”Kognitiv omstrukturering” från Stresshantering av Dr.Lars-Erik Uneståhl. Spår 2. Genre: New Age.","Kognitiv omstrukturering"
2595,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/Mindwalk-2xhkc0.mp3,/woocommerce_uploads/2024/02/Mindwalk-2xhkc0.mp3,Mindwalk-2xhkc0.mp3,,,"”Mindwalk”. Släppt: 2022.",Mindwalk
